Time,Elapsed_s,WorkingSet_MB,PeakWorkingSet_MB,PrivateMemory_MB,AvailableRAM_MB,UsedRAM_MB,TotalRAM_MB
2026-08-10 21:35:20,2.5,22.79,22.79,38.72,11080.16,21184.94,32265.10
2026-08-10 21:35:22,4.4,22.82,22.82,38.76,8648.39,23616.71,32265.10
2026-08-10 21:35:24,6.1,23.98,23.98,6575.36,11949.00,20316.09,32265.10
2026-08-10 21:35:25,7.9,125.54,125.54,6575.36,11705.85,20559.25,32265.10
2026-08-10 21:35:28,10.6,640.52,640.52,6575.36,10789.25,21475.85,32265.10
2026-08-10 21:35:31,13.5,1090.95,1090.95,6575.49,10093.36,22171.74,32265.10
2026-08-10 21:35:33,16.0,1569.05,1569.05,6575.49,10702.35,21562.75,32265.10
2026-08-10 21:35:35,18.0,426.42,1688.13,6575.49,11573.64,20691.46,32265.10
2026-08-10 21:35:37,20.0,921.43,1688.13,6575.49,11375.12,20889.98,32265.10
2026-08-10 21:35:39,21.5,1597.37,1688.13,6575.75,10869.43,21395.67,32265.10
2026-08-10 21:35:40,22.9,2157.86,2157.86,6575.75,10364.06,21901.04,32265.10
2026-08-10 21:35:42,24.2,2537.02,2537.02,6575.75,10136.74,22128.36,32265.10
2026-08-10 21:35:43,25.6,3010.65,3010.65,6575.75,9608.46,22656.64,32265.10
2026-08-10 21:35:45,27.3,3451.94,3451.94,6575.75,9208.25,23056.85,32265.10
2026-08-10 21:35:46,28.8,3859.54,3859.54,6575.75,8819.08,23446.02,32265.10
2026-08-10 21:35:48,30.1,4260.67,4260.67,6575.85,8421.97,23843.13,32265.10
2026-08-10 21:35:49,31.6,4708.38,4708.38,6575.85,7912.26,24352.84,32265.10
2026-08-10 21:35:50,33.0,5226.82,5226.82,6576.12,7491.79,24773.31,32265.10
2026-08-10 21:35:52,34.4,5653.32,5653.32,6576.12,7066.94,25198.16,32265.10
2026-08-10 21:35:53,35.7,6127.72,6127.72,6576.18,6596.89,25668.21,32265.10
2026-08-10 21:35:55,37.1,6603.61,6603.61,6576.18,6089.68,26175.42,32265.10
2026-08-10 21:35:56,38.5,7004.71,7004.71,6576.18,5671.48,26593.61,32265.10
2026-08-10 21:35:57,39.8,7445.99,7445.99,6576.18,5283.96,26981.14,32265.10
2026-08-10 21:35:59,41.3,7901.40,7901.40,6576.18,4764.34,27500.76,32265.10
2026-08-10 21:36:00,42.6,8404.41,8404.41,6576.18,4334.96,27930.14,32265.10
2026-08-10 21:36:01,44.0,8846.06,8846.06,6576.18,3898.92,28366.18,32265.10
2026-08-10 21:36:03,45.4,9201.00,9201.00,6576.45,3553.61,28711.49,32265.10
2026-08-10 21:36:04,46.8,9512.21,9512.21,6576.45,3255.53,29009.57,32265.10
2026-08-10 21:36:06,48.2,9838.76,9838.76,6576.45,2984.38,29280.72,32265.10
2026-08-10 21:36:07,49.6,10101.91,10101.91,6576.45,2720.27,29544.82,32265.10
2026-08-10 21:36:09,51.0,10384.82,10384.82,6576.45,2300.25,29964.84,32265.10
2026-08-10 21:36:10,52.5,10619.99,10619.99,6576.45,2048.39,30216.70,32265.10
2026-08-10 21:36:12,54.3,10866.09,10866.09,6576.45,1724.48,30540.62,32265.10
2026-08-10 21:36:13,56.0,11166.09,11166.09,6576.45,1421.76,30843.34,32265.10
2026-08-10 21:36:15,57.6,11520.84,11520.84,6576.45,1072.25,31192.84,32265.10
2026-08-10 21:36:17,59.3,11861.70,11861.70,6576.45,961.68,31303.42,32265.10
2026-08-10 21:36:19,61.3,12118.70,12118.70,6576.34,650.34,31614.75,32265.10
2026-08-10 21:36:21,63.2,12321.99,12321.99,6576.34,445.43,31819.67,32265.10
