Time,Elapsed_s,WorkingSet_MB,PeakWorkingSet_MB,PrivateMemory_MB,AvailableRAM_MB,UsedRAM_MB,TotalRAM_MB
2026-08-10 21:31:37,2.9,27.34,27.34,73.38,12884.20,19380.89,32265.10
2026-08-10 21:31:39,5.0,23.04,27.55,38.66,9556.79,22708.31,32265.10
2026-08-10 21:31:41,6.8,23.06,27.55,38.68,7578.92,24686.18,32265.10
2026-08-10 21:31:43,8.5,23.06,27.55,38.68,5845.86,26419.23,32265.10
2026-08-10 21:31:44,10.3,23.07,27.55,38.68,12831.48,19433.61,32265.10
2026-08-10 21:31:46,11.7,23.08,27.55,38.69,12849.19,19415.91,32265.10
2026-08-10 21:31:47,13.1,23.08,27.55,38.70,12860.57,19404.53,32265.10
2026-08-10 21:31:49,14.6,23.09,27.55,38.70,12851.57,19413.53,32265.10
2026-08-10 21:31:50,16.1,23.09,27.55,38.70,12854.88,19410.22,32265.10
2026-08-10 21:31:52,18.2,23.09,27.55,38.70,12832.30,19432.80,32265.10
2026-08-10 21:31:55,20.8,23.09,27.55,38.70,12634.46,19630.64,32265.10
2026-08-10 21:31:58,23.5,23.09,27.55,38.70,12531.07,19734.03,32265.10
2026-08-10 21:32:00,26.3,23.10,27.55,38.70,12523.38,19741.72,32265.10
2026-08-10 21:32:04,29.5,106.83,106.83,249.12,12201.98,20063.12,32265.10
2026-08-10 21:32:07,32.9,345.21,345.21,434.80,11129.06,21136.04,32265.10
2026-08-10 21:32:10,35.8,2255.02,2255.02,435.15,8675.06,23590.04,32265.10
2026-08-10 21:32:13,38.5,4464.30,4464.30,435.15,6899.18,25365.91,32265.10
2026-08-10 21:32:15,41.4,6300.58,6300.58,435.15,6705.89,25559.21,32265.10
2026-08-10 21:32:17,43.2,3248.07,6773.18,435.15,11603.27,20661.83,32265.10
2026-08-10 21:32:19,44.6,265.65,6773.18,435.51,12401.18,19863.92,32265.10
2026-08-10 21:32:21,47.2,1871.88,6773.18,435.51,8805.55,23459.55,32265.10
2026-08-10 21:32:24,49.6,5828.57,6773.18,435.51,5701.41,26563.69,32265.10
2026-08-10 21:32:26,52.1,6980.69,6980.69,435.42,5631.26,26633.84,32265.10
2026-08-10 21:32:29,54.7,6984.48,6984.48,435.42,5615.66,26649.44,32265.10
2026-08-10 21:32:31,57.4,6984.49,6984.49,435.42,5429.40,26835.70,32265.10
2026-08-10 21:32:34,60.0,6984.49,6984.49,435.42,5302.38,26962.71,32265.10
2026-08-10 21:32:37,62.5,6984.50,6984.52,435.36,5344.05,26921.05,32265.10
2026-08-10 21:32:38,64.0,6984.66,6985.64,435.48,5355.18,26909.92,32265.10
2026-08-10 21:32:40,65.6,6984.66,6985.64,435.48,5272.51,26992.59,32265.10
2026-08-10 21:32:41,67.0,6984.66,6985.64,435.48,5279.08,26986.02,32265.10
2026-08-10 21:32:42,68.4,6984.66,6985.64,435.48,5279.02,26986.07,32265.10
2026-08-10 21:32:45,71.0,6985.18,6985.64,435.85,5259.61,27005.49,32265.10
2026-08-10 21:32:48,73.5,6985.79,6986.04,436.93,5263.04,27002.05,32265.10
2026-08-10 21:32:51,76.5,6986.10,6986.10,436.93,5261.35,27003.75,32265.10
2026-08-10 21:32:53,79.4,6986.12,6986.12,436.93,5243.34,27021.76,32265.10
2026-08-10 21:32:56,82.4,6986.16,6986.16,436.93,5246.90,27018.20,32265.10
2026-08-10 21:32:59,85.3,6986.20,6986.20,436.93,5252.39,27012.71,32265.10
2026-08-10 21:33:02,88.2,6986.21,6986.21,436.93,5262.37,27002.73,32265.10
2026-08-10 21:33:05,90.9,6986.24,6986.24,436.93,5249.20,27015.89,32265.10
2026-08-10 21:33:09,94.7,6986.28,6986.28,436.89,5249.91,27015.19,32265.10
2026-08-10 21:33:12,97.7,6986.31,6986.31,436.89,5237.37,27027.73,32265.10
2026-08-10 21:33:15,100.8,6986.35,6986.35,436.89,5206.05,27059.05,32265.10
2026-08-10 21:33:17,102.5,6986.48,6986.48,436.89,5215.84,27049.26,32265.10
2026-08-10 21:33:18,103.9,6986.48,6986.48,436.89,5215.77,27049.33,32265.10
2026-08-10 21:33:19,105.3,6986.48,6986.48,436.89,5211.47,27053.63,32265.10
2026-08-10 21:33:21,106.8,6986.48,6986.48,436.89,5208.56,27056.54,32265.10
2026-08-10 21:33:23,108.6,6986.51,6986.53,436.89,5180.55,27084.55,32265.10
2026-08-10 21:33:24,110.0,6986.51,6986.53,436.89,5186.43,27078.66,32265.10
